93, 0.233303 0.211261 0.265369 0.131658 0.196523 0.328115 0.180849 0.185654 0.244063 0.226115 0.191709 0.133689;
94, 0.22921 0.211552 0.261035 0.136246 0.198835 0.329991 0.182882 0.186081 0.247448 0.222715 0.201131 0.132267;
95, 0.226278 0.209145 0.256669 0.144882 0.198992 0.330127 0.187492 0.187054 0.251134 0.219303 0.220168 0.133299;
96, 0.223627 0.207447 0.252313 0.145862 0.201209 0.33027 0.196394 0.186832 0.257658 0.216945 0.231925 0.133172;
97, 0.219054 0.207886 0.250632 0.147952 0.19672 0.329811 0.202059 0.1871 0.265901 0.217753 0.240948 0.136805;
98, 0.217795 0.209486 0.249214 0.149978 0.198237 0.32811 0.207292 0.189102 0.272744 0.217731 0.244848 0.136441;
99, 0.216211 0.213029 0.250739 0.151932 0.201266 0.326177 0.207094 0.188865 0.27735 0.219923 0.235977 0.137741;
100, 0.214557 0.21591 0.249874 0.149476 0.204419 0.323554 0.210294 0.187247 0.278084 0.21913 0.228767 0.131937;
101, 0.216034 0.220531 0.247548 0.149262 0.205063 0.322866 0.215241 0.185063 0.277313 0.217731 0.214505 0.133408;
102, 0.22251 0.222054 0.244556 0.147313 0.203426 0.3237 0.220265 0.184544 0.277199 0.214359 0.210001 0.126988;
103, 0.225274 0.223044 0.24518 0.148671 0.200635 0.326203 0.221697 0.18005 0.274163 0.210567 0.223538 0.121232;
104, 0.233873 0.223646 0.249151 0.143482 0.193194 0.328094 0.217262 0.179009 0.266819 0.206278 0.229539 0.122578;
105, 0.243896 0.216315 0.254529 0.139642 0.187831 0.327579 0.210785 0.17962 0.257042 0.205629 0.237699 0.126932;
106, 0.254386 0.223458 0.257776 0.132902 0.185059 0.325346 0.211796 0.191707 0.252974 0.196965 0.246318 0.130858;
107, 0.257968 0.233631 0.257499 0.128349 0.181762 0.318154 0.211005 0.201344 0.257133 0.197402 0.250803 0.140713;
108, 0.264947 0.239362 0.258246 0.123132 0.177218 0.313661 0.211448 0.206537 0.259627 0.204049 0.25551 0.145199;
109, 0.261639 0.243014 0.256484 0.118766 0.179223 0.312996 0.208665 0.211985 0.259345 0.214678 0.25575 0.148486;
